종목명,CU당수량,평가금액_원,비중_pct
삼성전자,6924.0,1796778000,32.79
SK하이닉스,843.0,1527516000,27.87
SK스퀘어,137.0,149193000,2.72
삼성전기,83.0,116200000,2.12
KB금융,452.0,80410800,1.47
현대차,203.0,77647500,1.42
신한지주,605.0,68304500,1.25
두산에너빌리티,643.0,58384400,1.07
한화에어로스페이스,49.0,52969000,0.97
삼성물산,143.0,52481000,0.96
하나금융지주,370.0,50986000,0.93
삼성SDI,91.0,49595000,0.9
기아,363.0,45955800,0.84
셀트리온,234.0,41698800,0.76
NAVER,199.0,41093500,0.75
삼성생명,126.0,38745000,0.71
현대모비스,92.0,38226000,0.7
우리금융지주,1005.0,35275500,0.64
POSCO홀딩스,101.0,33734000,0.62
LG전자,161.0,32119500,0.59
SK,53.0,31005000,0.57
삼성화재,44.0,30184000,0.55
LG에너지솔루션,74.0,26640000,0.49
HD한국조선해양,70.0,25585000,0.47
HD현대일렉트릭,34.0,25398000,0.46
LS ELECTRIC,117.0,23926500,0.44
HD현대중공업,49.0,23471000,0.43
KT&G,134.0,23021200,0.42
삼성바이오로직스,15.0,21225000,0.39
삼성중공업,989.0,21164600,0.39
SK텔레콤,222.0,20179800,0.37
효성중공업,7.0,19978000,0.36
LG화학,69.0,18837000,0.34
카카오,505.0,17422500,0.32
KT,329.0,17338300,0.32
한화오션,198.0,16948800,0.31
HD현대,67.0,16582500,0.3
SK이노베이션,112.0,16217600,0.3
한국전력,472.0,15623200,0.29
LG,134.0,15075000,0.28
현대건설,110.0,14839000,0.27
한미반도체,63.0,14553000,0.27
메리츠금융지주,110.0,14124000,0.26
한국항공우주,105.0,13702500,0.25
현대로템,110.0,13651000,0.25
LIG디펜스앤에어로스페이스,20.0,13560000,0.25
두산,10.0,13560000,0.25
에이피알,36.0,13392000,0.24
미래에셋증권,391.0,13078950,0.24
고려아연,11.0,12969000,0.24
삼성에스디에스,57.0,12682500,0.23
삼성E&A,235.0,11985000,0.22
한국금융지주,61.0,11809600,0.22
DB손해보험,61.0,11693700,0.21
현대글로비스,55.0,11467500,0.21
LG이노텍,21.0,11403000,0.21
대한항공,381.0,11029950,0.2
카카오뱅크,508.0,10845800,0.2
포스코퓨처엠,53.0,9820900,0.18
한진칼,70.0,9765000,0.18
HMM,467.0,9736950,0.18
S-Oil,62.0,9300000,0.17
크래프톤,42.0,8925000,0.16
이수페타시스,81.0,8901900,0.16
기업은행,406.0,8465100,0.15
LS,25.0,7987500,0.15
GS,67.0,7973000,0.15
삼성증권,91.0,7953400,0.15
코웨이,81.0,7711200,0.14
삼양식품,6.0,7668000,0.14
한화시스템,105.0,7444500,0.14
JB금융지주,232.0,7366000,0.13
HD현대마린솔루션,29.0,7163000,0.13
유한양행,90.0,7146000,0.13
한국타이어앤테크놀로지,108.0,6728400,0.12
아모레퍼시픽,46.0,6463000,0.12
BNK금융지주,405.0,6451650,0.12
하이브,37.0,6401000,0.12
키움증권,23.0,6394000,0.12
한화솔루션,212.0,6317600,0.12
LG유플러스,407.0,6060230,0.11
HD건설기계,42.0,5985000,0.11
NH투자증권,227.0,5970100,0.11
대우건설,296.0,5887440,0.11
엘앤에프,46.0,5520000,0.1
NC,26.0,5343000,0.1
대한전선,176.0,5192000,0.09
LG씨엔에스,71.0,5104900,0.09
산일전기,25.0,4965000,0.09
DB하이텍,46.0,4866800,0.09
두산밥캣,78.0,4804800,0.09
SK바이오팜,59.0,4684600,0.09
현대해상,86.0,4411800,0.08
OCI홀딩스,20.0,4370000,0.08
한전기술,28.0,4256000,0.08
현대제철,126.0,4233600,0.08
LG디스플레이,472.0,4200800,0.08
한미약품,9.0,4176000,0.08
한화엔진,81.0,4074300,0.07
한화,29.0,3981700,0.07
포스코인터내셔널,69.0,3981300,0.07
오리온,33.0,3936900,0.07
LG생활건강,13.0,3783000,0.07
DL이앤씨,44.0,3775200,0.07
iM금융지주,204.0,3763800,0.07
두산로보틱스,50.0,3575000,0.07
한국콜마,25.0,3532500,0.06
현대오토에버,9.0,3510000,0.06
SKC,39.0,3494400,0.06
신세계,9.0,3429000,0.06
코스맥스,12.0,3246000,0.06
한화생명,495.0,2965050,0.05
에스원,36.0,2930400,0.05
KCC,6.0,2913000,0.05
