연도_월,지급기준일,실지급일,주당분배금_원,당시종가_원,당시배당수익률_pct,연환산수익률_pct,SEIBRO분배율_pct,종가매칭일
2024-09,2024-09-30,2024-10-04,34,11047,0.308,3.7,0.28333,2024-09-30
2024-10,2024-10-31,2024-11-04,34,11673,0.291,3.49,0.27597,2024-10-31
2024-11,2024-11-29,2024-12-03,48,12417,0.387,4.64,0.36571,2024-11-29
2024-12,2024-12-30,2025-01-03,38,12235,0.311,3.73,0.29641,2024-12-30
2025-01,2025-01-31,2025-02-04,45,12370,0.364,4.37,0.34924,2025-01-31
2025-02,2025-02-28,2025-03-05,35,12452,0.281,3.37,0.27027,2025-02-28
2025-03,2025-03-31,2025-04-02,40,12376,0.323,3.88,0.30687,2025-03-31
2025-04,2025-04-30,2025-05-07,26,11232,0.231,2.77,0.22717,2025-04-30
2025-05,2025-05-30,2025-06-04,39,11026,0.354,4.25,0.34017,2025-05-30
2025-06,2025-06-30,2025-07-02,34,11045,0.308,3.7,0.28936,2025-06-30
2025-07,2025-07-31,2025-08-04,30,11456,0.262,3.14,0.25685,2025-07-31
2025-08,2025-08-29,2025-09-02,35,11887,0.294,3.53,0.28421,2025-08-29
2025-09,2025-09-30,2025-10-02,38,11788,0.322,3.86,0.31008,2025-09-30
2025-10,2025-10-31,2025-11-04,30,11778,0.255,3.06,0.24876,2025-10-31
2025-11,2025-11-28,2025-12-02,38,12489,0.304,3.65,0.29746,2025-11-28
2025-12,2025-12-30,2026-01-05,40,12513,0.32,3.84,0.31116,2025-12-30
2026-01,2026-01-30,2026-02-03,32,13142,0.243,2.92,0.2323,2026-01-30
2026-02,2026-02-27,2026-03-04,38,14088,0.27,3.24,0.25868,2026-02-27
2026-03,2026-03-31,2026-04-02,36,14739,0.244,2.93,0.24607,2026-03-31
2026-04,2026-04-30,2026-05-06,33,14641,0.225,2.7,0.22472,2026-04-30
2026-05,2026-05-29,2026-06-02,36,15429,0.233,2.8,0.23369,2026-05-29
2026-06,2026-06-30,2026-07-02,45,15668,0.287,3.44,0.28617,2026-06-30
2026-07,2026-07-31,2026-08-04,37,15135,0.244,2.93,0.24262,2026-07-31
2026-08,2026-08-31,2026-09-02,30,15095,0.199,2.39,0.19927,2026-08-31
