순위,종목코드,종목명,비중_pct,CU당수량,CU평가금액_원,기준일자
1,005930,삼성전자,26.41,3002.0,807538000,2026-09-11
2,000660,SK하이닉스,25.87,427.0,791231000,2026-09-11
3,042700,한미반도체,25.53,3085.0,780505000,2026-09-11
4,403870,HPSP,1.74,960.0,53376000,2026-09-11
5,095340,ISC,1.73,277.0,52796200,2026-09-11
6,007660,이수페타시스,1.58,429.0,48477000,2026-09-11
7,036930,주성엔지니어링,1.55,215.0,47515000,2026-09-11
7,039030,이오테크닉스,1.55,105.0,47775000,2026-09-11
9,240810,원익IPS,1.45,374.0,44431200,2026-09-11
10,080220,제주반도체,1.4,544.0,42867200,2026-09-11
11,089030,테크윙,1.39,864.0,42595200,2026-09-11
12,440110,파두,1.37,532.0,42187600,2026-09-11
13,009150,삼성전기,1.32,29.0,40600000,2026-09-11
14,067310,하나마이크론,1.29,1101.0,39636000,2026-09-11
15,000990,DB하이텍,1.28,340.0,39168000,2026-09-11
16,058470,리노공업,1.2,529.0,36659700,2026-09-11
17,353200,대덕전자,1.13,337.0,34542500,2026-09-11
18,131970,두산테스나,1.01,347.0,30917700,2026-09-11
19,011070,LG이노텍,0.88,49.0,27293000,2026-09-11
20,140860,파크시스템스,0.32,40.0,10200000,2026-09-11
