티커,ISIN,ETF명,운용사,현재가_원,시가총액_억원,배당주기,연간지급횟수,최근1년_주당분배금_원,배당수익률_pct,최근분배금_원,최근지급기준일
494300,KR7494300007,KODEX 미국나스닥100데일리커버드콜OTM,삼성자산운용,8680.0,9929.92,월배당,12,2020,23.27,152.0,2026-08-31
472150,KR7472150002,TIGER 배당커버드콜액티브,미래에셋자산운용,20565.0,24909.14,월배당,12,4385,21.32,413.0,2026-08-31
486290,KR7486290000,TIGER 미국나스닥100타겟데일리커버드콜,미래에셋자산운용,10145.0,24134.96,월배당,12,1638,16.15,132.0,2026-08-31
498400,KR7498400001,KODEX 200타겟위클리커버드콜,삼성자산운용,20760.0,60100.2,월배당,12,2987,14.39,270.0,2026-08-14
329200,KR7329200000,TIGER 리츠부동산인프라,미래에셋자산운용,4040.0,15467.77,월배당,12,396,9.8,33.0,2026-08-31
441640,KR7441640000,KODEX 미국배당커버드콜액티브,삼성자산운용,12275.0,16687.2,월배당,12,1180,9.61,102.0,2026-08-14
161510,KR7161510003,PLUS 고배당주,한화자산운용,25520.0,24430.3,월배당,12,1034,4.05,103.0,2026-08-31
446720,KR7446720005,SOL 미국배당다우존스,신한자산운용,13290.0,10123.17,월배당,12,406,3.05,27.0,2026-08-31
402970,KR7402970008,ACE 미국배당다우존스,한국투자신탁운용,14760.0,9413.69,월배당,12,450,3.05,25.0,2026-08-14
458730,KR7458730009,TIGER 미국배당다우존스,미래에셋자산운용,14500.0,42129.68,월배당,12,433,2.99,30.0,2026-08-31
